"county","year","age_group","total_pop","at_risk"
"Isiolo",2091,"85-89",4001,4000
"Kakamega",2051,"85-89",8024,8024
"Kitui",2092,"60-64",67798,67798
"Tharaka-Nithi",2018,"80-84",1009,1008
"Garissa",2069,"90-94",5641,5636
"Machakos",2067,"60-64",94614,94614
"Kiambu",2096,"75-79",214486,63755
"Kilifi",2065,"70-74",57802,55486
"Garissa",2038,"20-24",197173,196838
"Kakamega",2098,"90-94",20790,20790
"Nyamira",2017,"90-94",406,406
"Kakamega",2025,"95+",398,398
"Kilifi",2062,"95+",856,819
"Tana River",2096,"95+",390,385
"Uasin Gishu",2050,"75-79",21510,18064
"Kericho",2022,"75-79",5225,4704
"Nyeri",2100,"20-24",69852,58698
"Kakamega",2007,"85-89",1227,1227
"West Pokot",2005,"55-59",7336,6445
"Nyamira",2060,"35-39",91075,91075
"Isiolo",2076,"55-59",19159,19149
"Kitui",2034,"5-9",157926,157926
"Tana River",2061,"55-59",21131,20873
"Bungoma",2060,"45-49",182457,181595
"Narok",2005,"80-84",1657,1160
"Nandi",2060,"75-79",17820,17819
"Nakuru",2011,"80-84",3847,2378
"Kirinyaga",2054,"30-34",69970,69968
"Kericho",2010,"5-9",119025,107089
"Tana River",2007,"70-74",1590,1560
"Nyamira",2026,"70-74",6202,6202
"Bomet",2053,"90-94",1197,1156
"Mandera",2039,"70-74",39404,39404
"Nyamira",2011,"15-19",69047,69047
"Uasin Gishu",2092,"80-84",58048,53379
"Kirinyaga",2089,"80-84",19502,19502
"Kisumu",2092,"80-84",55136,55136
"Garissa",2097,"45-49",261643,261497
"Mandera",2037,"15-19",307926,307926
"Makueni",2094,"60-64",45476,45476
"Kericho",2083,"35-39",106147,99097
"Machakos",2080,"55-59",119653,119653
"Nakuru",2085,"0-4",338149,254126
"Mandera",2049,"90-94",2924,2924
"Machakos",2015,"10-14",156547,156547
"Vihiga",2070,"75-79",46447,46447
"Kakamega",2026,"35-39",130006,130006
"Bomet",2038,"75-79",8560,8284
"Embu",2001,"55-59",7185,7185
"Mandera",2046,"50-54",155059,155059
"Bungoma",2092,"0-4",182946,182335
"West Pokot",2084,"25-29",56567,50476
"Homa Bay",2019,"90-94",705,705
"Kericho",2065,"25-29",124889,115021
"Mandera",2095,"55-59",238815,238815
"Busia",2044,"25-29",104099,104097
"Marsabit",2013,"60-64",3911,3777
"Nyandarua",2034,"85-89",1344,13
"Bungoma",2100,"20-24",179487,178960
"Wajir",2077,"5-9",177114,177082
"Busia",2055,"90-94",1378,1378
"Nakuru",2029,"60-64",53220,33854
"Murang'a",2021,"75-79",4930,4496
"Kilifi",2024,"15-19",179960,169175
"Turkana",2086,"90-94",3964,3854
"Busia",2054,"10-14",120093,120088
"Kakamega",2019,"30-34",130307,130307
"Trans Nzoia",2035,"45-49",72953,71645
"Kilifi",2011,"25-29",105565,98919
"Kirinyaga",2086,"40-44",69344,69341
"Bomet",2067,"65-69",39183,37983
"Marsabit",2035,"20-24",41633,40242
"Laikipia",2011,"20-24",41245,21547
"Kericho",2036,"75-79",8801,7968
"Machakos",2019,"40-44",61919,61919
"Kisii",2026,"15-19",184798,184798
"West Pokot",2095,"55-59",42442,38123
"Kwale",2018,"90-94",480,445
"Samburu",2070,"45-49",20996,16992
"Trans Nzoia",2091,"85-89",20807,20613
"Turkana",2057,"80-84",10484,10152
"Taita Taveta",2042,"50-54",22688,22688
"Kilifi",2029,"40-44",96031,90469
"Elgeyo-Marakwet",2064,"35-39",39120,22162
"Embu",2038,"5-9",88094,88094
"Mandera",2082,"85-89",28897,28897
"Nyandarua",2097,"45-49",46977,324
"Nyamira",2013,"35-39",37122,37122
"Trans Nzoia",2052,"45-49",108390,106710
"Nandi",2045,"80-84",6314,6313
"Nakuru",2017,"90-94",1198,741
"Kiambu",2097,"40-44",481415,142751
"Vihiga",2019,"65-69",6862,6862
"Embu",2011,"80-84",1315,1315
"Kirinyaga",2004,"55-59",7690,7689
"Turkana",2067,"0-4",115569,112080
"Marsabit",2028,"45-49",17564,16965
"Nyandarua",2060,"0-4",78725,680
"Lamu",2040,"35-39",12680,10740
"Makueni",2082,"55-59",55061,55061
"Tana River",2085,"0-4",22623,22346
"Nyeri",2012,"55-59",11798,7962
"Isiolo",2064,"70-74",7510,7505
"Busia",2030,"15-19",113924,113920
"Bungoma",2023,"80-84",5697,5663
"Kiambu",2014,"5-9",267842,112934
"Migori",2003,"50-54",15339,15339
"Nakuru",2079,"60-64",230876,171035
"Murang'a",2075,"30-34",94551,87449
"Kiambu",2058,"10-14",403294,137383
"Narok",2066,"80-84",13701,9532
"Mombasa",2045,"20-24",243746,141574
"Homa Bay",2090,"60-64",62567,62564
"Homa Bay",2067,"80-84",13901,13901
"Kisii",2066,"40-44",248625,248625
"Machakos",2054,"80-84",12920,12920
"Nyamira",2096,"65-69",74732,74732
"Tharaka-Nithi",2065,"25-29",42651,42608
"Kitui",2100,"10-14",72019,72019
"Makueni",2021,"60-64",17218,17218
"Kwale",2045,"25-29",90676,81532
"Busia",2026,"35-39",65824,65823
"Nandi",2001,"70-74",3570,3570
"West Pokot",2016,"35-39",38911,34043
"Nyamira",2035,"75-79",5966,5966
"Elgeyo-Marakwet",2021,"30-34",34951,19804
"Tana River",2066,"25-29",33402,32995
"Homa Bay",2012,"75-79",4117,4116
"Nakuru",2062,"40-44",281162,198754
"Homa Bay",2062,"65-69",40843,40842
"Bungoma",2084,"30-34",205978,205221
"Machakos",2067,"30-34",166543,166543
"Kericho",2071,"90-94",2843,2628
"Kitui",2065,"20-24",122438,122438
"Laikipia",2052,"45-49",42419,20009
"Lamu",2024,"75-79",701,580
"Kitui",2009,"95+",18,18
"Garissa",2039,"45-49",108976,108794
"Kirinyaga",2031,"50-54",26167,26167
"Uasin Gishu",2061,"15-19",200068,172488
"Mandera",2081,"55-59",219431,219431
"Siaya",2059,"0-4",109623,109614
"Samburu",2061,"0-4",30446,24634
"Mombasa",2016,"0-4",160352,92563
"Machakos",2021,"5-9",167782,167782
"Kericho",2073,"75-79",28505,26404
"Kakamega",2035,"85-89",3946,3946
"Marsabit",2007,"40-44",12233,11806
"Elgeyo-Marakwet",2042,"25-29",47841,27107
"Mombasa",2054,"80-84",22699,13201
"Homa Bay",2017,"25-29",91635,91631
"Bomet",2033,"25-29",106963,103535
"Elgeyo-Marakwet",2022,"25-29",38679,21917
"Kericho",2081,"55-59",83789,78100
"Tana River",2004,"80-84",477,468
"Samburu",2001,"20-24",16671,13420
"Kakamega",2023,"0-4",241486,241486
"Kakamega",2050,"15-19",274164,274164
"Bungoma",2074,"50-54",171478,170766
"Garissa",2089,"10-14",260932,260756
"Homa Bay",2075,"45-49",87267,87264
"Kisumu",2018,"10-14",149039,149038
"West Pokot",2083,"35-39",55810,49772
"Wajir",2100,"40-44",150724,150704
"Meru",2004,"5-9",184686,170199
"Migori",2066,"40-44",102765,102763
"Laikipia",2022,"80-84",1509,779
"Kericho",2028,"65-69",16162,14587
"Murang'a",2077,"35-39",91568,84759
"Mombasa",2049,"25-29",252179,146571
"Kilifi",2072,"0-4",200069,192816
"Meru",2017,"30-34",115347,106234
"Garissa",2058,"10-14",254279,253964
"Mombasa",2016,"5-9",159781,92234
"Kilifi",2051,"15-19",212742,202648
"Tharaka-Nithi",2063,"40-44",34938,34901
"Tana River",2049,"80-84",2512,2481
"Elgeyo-Marakwet",2014,"10-14",50340,28591
"Nyamira",2096,"90-94",7316,7316
"Elgeyo-Marakwet",2012,"50-54",9333,5299
"Kilifi",2030,"30-34",127892,120537
"Elgeyo-Marakwet",2030,"60-64",10726,6075
"Samburu",2067,"55-59",18582,15035
"Baringo",2046,"15-19",88697,81111
"Murang'a",2019,"50-54",31150,28387
"Busia",2000,"15-19",72405,72404
"Narok",2029,"70-74",12182,8473
"Nyeri",2086,"0-4",75375,60683
"Bungoma",2070,"95+",1369,1365
"Makueni",2099,"15-19",47954,47954
"Homa Bay",2100,"25-29",69433,69430
"Garissa",2033,"45-49",94214,94044
"Machakos",2033,"65-69",24782,24782
"Kilifi",2092,"25-29",192271,187257
"Murang'a",2077,"5-9",92258,85393
"Murang'a",2038,"5-9",139818,127843
"Kisumu",2080,"0-4",178869,178867
"Laikipia",2071,"5-9",52644,22523
"Nandi",2085,"25-29",77436,77433
"Taita Taveta",2080,"55-59",35629,35629
"Elgeyo-Marakwet",2048,"60-64",17522,9927
"Kiambu",2015,"35-39",107467,45228
"Nyamira",2035,"85-89",1562,1562
"Nakuru",2094,"0-4",328782,251908
"Kisumu",2049,"80-84",10917,10917
"Isiolo",2014,"15-19",17896,17852
"Taita Taveta",2069,"70-74",15617,15617
"Murang'a",2028,"10-14",128720,117487
"Bungoma",2096,"10-14",182032,181460
"Trans Nzoia",2048,"55-59",65432,64380
"Kisumu",2084,"80-84",41871,41870
"Kericho",2018,"60-64",14910,13416
"Kitui",2049,"15-19",144504,144504
"Kakamega",2006,"80-84",2802,2802
"Vihiga",2073,"45-49",181848,181848
"Trans Nzoia",2057,"50-54",101830,100323
"Taita Taveta",2087,"85-89",5804,5804
"Tharaka-Nithi",2052,"65-69",12692,12678
"Nakuru",2061,"10-14",354564,249882
"Kilifi",2021,"85-89",2278,2135
"Kwale",2025,"95+",181,166
"Kericho",2023,"70-74",8355,7524
"Siaya",2099,"50-54",59447,59445
"Kericho",2061,"85-89",5745,5276
"Turkana",2093,"30-34",82060,79925
"Kisii",2065,"50-54",210354,210354
"Kisii",2047,"20-24",234424,234424
"Tana River",2011,"60-64",3462,3399
"Taita Taveta",2033,"70-74",4619,4619
"Laikipia",2017,"45-49",18162,9362
"Kitui",2075,"60-64",68303,68303
"Kwale",2071,"25-29",88926,77585
"Nairobi",2046,"45-49",564509,8417
"Garissa",2013,"30-34",60520,60404
"Nyandarua",2042,"80-84",3886,35
"Bomet",2087,"10-14",67347,65390
"Machakos",2013,"65-69",10502,10502
"Kilifi",2068,"5-9",206418,198488
"Trans Nzoia",2071,"30-34",149194,147324
"Nairobi",2063,"60-64",627223,7726
"Mombasa",2046,"40-44",188867,109718
"Bungoma",2086,"90-94",9028,8996
"Turkana",2005,"35-39",39268,37968
"Vihiga",2010,"45-49",18952,18952
"Embu",2063,"80-84",7528,7528
"Isiolo",2020,"60-64",2822,2819
"Kericho",2065,"45-49",95530,87984
"Siaya",2024,"45-49",42643,42638
"Elgeyo-Marakwet",2094,"45-49",23941,13565
"Bungoma",2055,"65-69",75755,75381
"Bomet",2084,"55-59",58186,56478
"Nakuru",2070,"10-14",360090,260477
"Kiambu",2039,"95+",528,187
"Laikipia",2042,"85-89",1254,612
"Mandera",2031,"60-64",62022,62022
"Siaya",2086,"95+",1013,1013
"Isiolo",2066,"80-84",3284,3283
"West Pokot",2016,"95+",185,165
"Kirinyaga",2067,"30-34",76789,76786
"Embu",2044,"45-49",43327,43327
"Busia",2081,"5-9",95547,95545
"Baringo",2095,"20-24",47213,43811
"Nakuru",2015,"40-44",89905,55598
"Nyandarua",2092,"15-19",50876,367
"Bomet",2087,"85-89",8654,8404
"Isiolo",2072,"10-14",27490,27476
"Murang'a",2061,"25-29",111836,102888
"Makueni",2038,"80-84",4634,4634
"Embu",2024,"10-14",83058,83058
"Siaya",2058,"40-44",84414,84407
"Bomet",2080,"95+",768,746
"Kericho",2100,"35-39",94205,89158
"Kwale",2040,"10-14",107743,97311
"Busia",2096,"20-24",85766,85765
"Laikipia",2001,"65-69",2732,1448
"Kisii",2074,"0-4",303553,303553
"West Pokot",2026,"60-64",14890,13043
"Tana River",2098,"10-14",17248,17037
"Isiolo",2017,"55-59",3525,3522
"Marsabit",2008,"5-9",43083,41559
"West Pokot",2046,"85-89",2068,1819
"Turkana",2010,"90-94",240,231
"Kericho",2076,"20-24",115136,106896
"Makueni",2011,"90-94",293,293
"Bungoma",2045,"75-79",23716,23594
"Uasin Gishu",2012,"45-49",36356,28534
"Embu",2027,"30-34",51466,51466
"Garissa",2093,"75-79",114069,114000
"Tharaka-Nithi",2025,"35-39",25366,25335
"Baringo",2068,"5-9",72150,66304
"Murang'a",2049,"50-54",62159,56980
"Makueni",2100,"90-94",4132,4132
"Embu",2086,"85-89",6575,6575
"Trans Nzoia",2019,"0-4",152688,149622
"Wajir",2076,"30-34",178269,178235
"Lamu",2024,"25-29",11552,9613
"Kisumu",2100,"10-14",173889,173889
"Nandi",2039,"80-84",4915,4915
"Tana River",2004,"60-64",2572,2526
"Tana River",2089,"50-54",20307,20058
"Mombasa",2004,"10-14",107718,61337
"Kiambu",2042,"80-84",14947,5518
"Kisii",2077,"5-9",310221,310221
"Kajiado",2017,"15-19",91764,75805
"Isiolo",2039,"45-49",12504,12494
"Isiolo",2098,"90-94",2051,2050
"Nyandarua",2095,"50-54",46724,330
"Marsabit",2036,"95+",61,59
"Lamu",2071,"95+",100,89
"Kisumu",2032,"45-49",71399,71399
"Kitui",2041,"25-29",128447,128447
"Samburu",2037,"20-24",33499,27109
"Trans Nzoia",2025,"25-29",104272,102281
"Kericho",2021,"15-19",121737,109578
"Bungoma",2056,"65-69",77275,76900
"Bungoma",2009,"35-39",89097,88646
"Taita Taveta",2061,"85-89",2271,2271
"Uasin Gishu",2052,"10-14",202260,170663
"Embu",2071,"25-29",65102,65102
"Homa Bay",2098,"85-89",13648,13646
"Kitui",2003,"80-84",1882,1882
"Kilifi",2015,"5-9",192851,180391
"Siaya",2083,"15-19",79650,79644
"Kirinyaga",2054,"90-94",911,911
"Elgeyo-Marakwet",2074,"30-34",36540,20703
"Busia",2018,"90-94",548,548
"Nandi",2026,"0-4",139241,139241
"Murang'a",2072,"95+",648,602
"Bungoma",2014,"30-34",128869,127948
"Kilifi",2014,"50-54",34340,32140
"Nyeri",2041,"5-9",106603,75192
"Machakos",2058,"80-84",14880,14880
"Turkana",2020,"80-84",3262,3155
"Trans Nzoia",2078,"65-69",83722,82767
"Mombasa",2013,"95+",188,107
"Isiolo",2063,"10-14",27411,27395
"Nyamira",2011,"70-74",3708,3708
"Nairobi",2009,"75-79",12595,286
"Nairobi",2000,"90-94",389,7
"Nakuru",2036,"45-49",150189,97721
"Kakamega",2037,"30-34",200445,200445
"Kakamega",2034,"65-69",36850,36850
"Kwale",2044,"85-89",2239,2015
"Nyandarua",2073,"35-39",64894,528
"Homa Bay",2064,"80-84",12648,12648
"Kisii",2007,"20-24",115966,115966
"Uasin Gishu",2029,"70-74",13532,10812
"Nairobi",2098,"85-89",321825,3079
"Kwale",2046,"30-34",87121,78262
"Nakuru",2030,"80-84",8692,5547
"Embu",2076,"90-94",1887,1887
"Nyandarua",2059,"60-64",32673,283
"Bomet",2028,"50-54",37914,36695
"Baringo",2067,"90-94",1440,1324
"Makueni",2083,"20-24",70394,70394
"Nandi",2088,"80-84",19446,19446
"Nairobi",2084,"40-44",1524221,15816
"Samburu",2018,"95+",94,74
"Trans Nzoia",2086,"50-54",128995,127694
"Kakamega",2024,"45-49",79114,79114
"Makueni",2065,"70-74",26902,26902
"Nyeri",2068,"75-79",19211,14615
"Wajir",2008,"60-64",6972,6970
"Isiolo",2075,"30-34",26753,26739
"Nakuru",2075,"85-89",29273,21460
"Trans Nzoia",2001,"25-29",51774,50731
"Baringo",2032,"40-44",48769,44508
"Nyamira",2050,"30-34",88392,88392
"Homa Bay",2045,"80-84",6879,6879
"Uasin Gishu",2052,"60-64",71389,60236
"Meru",2078,"0-4",224269,215161
"Siaya",2087,"55-59",63023,63018
"Isiolo",2049,"90-94",234,234
"Tharaka-Nithi",2092,"85-89",5418,5413
"Siaya",2066,"0-4",99875,99864
"Kirinyaga",2073,"10-14",76922,76918
"Nakuru",2097,"45-49",341379,263097
"Embu",2032,"75-79",4309,4309
"Taita Taveta",2061,"60-64",22828,22828
"Nyeri",2009,"55-59",10268,6943
"Kirinyaga",2090,"95+",1080,1080
"Homa Bay",2034,"10-14",136157,136149
"Turkana",2088,"45-49",83436,81181
"Samburu",2020,"5-9",39690,32120
"Narok",2044,"20-24",133621,92954
"Lamu",2037,"45-49",8518,7188
"Marsabit",2002,"35-39",13523,13047
"Marsabit",2073,"5-9",38313,37312
"Migori",2084,"55-59",84999,84999
"Kisumu",2034,"70-74",16133,16132
"Marsabit",2046,"0-4",47670,46164
"Garissa",2040,"85-89",3871,3866
"Migori",2055,"70-74",27608,27606
"Kiambu",2039,"65-69",56307,21127
"Tharaka-Nithi",2008,"85-89",278,277
"Nandi",2047,"15-19",122548,122546
"Nakuru",2007,"90-94",375,229
"Wajir",2020,"70-74",12321,12319
"Embu",2058,"5-9",75351,75351
"Laikipia",2095,"30-34",40047,14140
"West Pokot",2005,"5-9",68265,59961
"Baringo",2002,"70-74",2679,2441
"Kilifi",2048,"30-34",172259,163822
"Lamu",2016,"60-64",1619,1337
"Nakuru",2060,"50-54",246943,173512
"Tharaka-Nithi",2043,"30-34",40308,40260
"Nakuru",2037,"75-79",20987,13704
"Siaya",2088,"85-89",9722,9720
"Bungoma",2068,"55-59",158626,157928
"Kajiado",2044,"5-9",146123,110333
"Taita Taveta",2037,"65-69",8249,8249
"Kisumu",2001,"55-59",12549,12549
"Nyamira",2087,"60-64",76648,76648
"Turkana",2026,"5-9",146109,141204
"Taita Taveta",2045,"70-74",7454,7454
"Nairobi",2054,"25-29",1066890,14452
"Narok",2077,"45-49",84576,58835
"Elgeyo-Marakwet",2089,"80-84",7667,4347
"Trans Nzoia",2032,"50-54",52373,51418
"Turkana",2092,"70-74",44437,43276
"Kilifi",2045,"50-54",94428,89657
"Tana River",2059,"35-39",31065,30683
"Meru",2014,"40-44",69490,63987
"Homa Bay",2016,"25-29",91547,91542
"Mandera",2005,"40-44",29853,29853
"Narok",2072,"60-64",65046,45248
"Kwale",2074,"60-64",55282,48035
"Bungoma",2007,"80-84",3149,3132
"Nairobi",2077,"20-24",1497483,16337
"Kiambu",2098,"55-59",442211,130805
"Isiolo",2020,"75-79",812,812
"Mombasa",2030,"55-59",47174,27313
"Kwale",2091,"25-29",75208,63666
"Kwale",2056,"40-44",77571,68960
"Nyandarua",2096,"40-44",48596,339
"Tharaka-Nithi",2011,"20-24",33357,33317
"Nyandarua",2000,"55-59",7911,72
"Isiolo",2024,"10-14",23202,23178
"Kilifi",2093,"80-84",57532,56060
"Elgeyo-Marakwet",2062,"35-39",39239,22231
"Kajiado",2076,"30-34",146244,96171
"Nandi",2005,"40-44",26956,26956
"Siaya",2087,"5-9",71891,71886
"Kisumu",2006,"70-74",5984,5984
"Embu",2088,"75-79",21852,21852
"Marsabit",2071,"95+",242,238
"Garissa",2014,"65-69",8381,8361
"Vihiga",2065,"95+",945,945
"Meru",2091,"25-29",227263,219942
"Trans Nzoia",2018,"5-9",151852,148843
"Embu",2061,"55-59",42499,42499
"Tana River",2045,"95+",87,86
"Uasin Gishu",2094,"5-9",183491,169311
"Kisii",2058,"45-49",210825,210825
"Nakuru",2066,"40-44",298159,213251
"Lamu",2042,"80-84",794,673
"Embu",2060,"40-44",57657,57657
"Makueni",2082,"85-89",7160,7160
"Bungoma",2057,"30-34",220707,219634
"Kiambu",2035,"45-49",143041,54868
"Machakos",2091,"55-59",133538,133538
"Kericho",2063,"40-44",102346,94130
"Trans Nzoia",2033,"40-44",80924,79451
"Busia",2097,"70-74",51664,51663
"West Pokot",2035,"5-9",96763,84885
"Kirinyaga",2016,"10-14",74994,74990
"Elgeyo-Marakwet",2063,"80-84",4675,2650
"Trans Nzoia",2062,"10-14",156893,154695
"Laikipia",2001,"40-44",10924,5791
"Bungoma",2017,"0-4",264514,262976
"Kisii",2095,"40-44",330370,330370
"Makueni",2044,"70-74",17136,17136
"Makueni",2060,"85-89",4428,4428
"Kwale",2098,"0-4",64148,53686
"Garissa",2039,"10-14",224462,224088
"Homa Bay",2058,"50-54",81256,81249
"Isiolo",2029,"5-9",24205,24181
"Kisii",2097,"0-4",309926,309926
"Elgeyo-Marakwet",2081,"60-64",21546,12210
"Narok",2087,"15-19",77081,53620
"Kericho",2064,"5-9",127738,117559
"Kisumu",2029,"50-54",49537,49537
"Kwale",2066,"40-44",78533,68977
"Bungoma",2002,"90-94",252,251
"Kakamega",2010,"55-59",22575,22575
"Migori",2100,"90-94",7913,7913
"Tharaka-Nithi",2070,"60-64",25231,25209
"Narok",2100,"50-54",55524,38624
"Bungoma",2002,"95+",2,2
"Kisumu",2096,"40-44",181378,181377
"Taita Taveta",2040,"45-49",25145,25145
"Migori",2002,"10-14",105541,105538
"Homa Bay",2093,"15-19",75846,75841
"Siaya",2010,"45-49",28476,28473
"Kisii",2011,"15-19",132991,132991
"Mombasa",2026,"25-29",124749,72153
"Meru",2014,"10-14",191750,176560
"Busia",2018,"80-84",2548,2548
"Kirinyaga",2099,"95+",1627,1627
"Samburu",2070,"0-4",25836,20910
"Busia",2085,"40-44",92089,92088
"Migori",2010,"75-79",3623,3622
"Tana River",2065,"70-74",9553,9435
"Murang'a",2089,"60-64",60241,56087
"Kilifi",2073,"35-39",196688,189660
"Laikipia",2080,"65-69",27108,10902
"Homa Bay",2029,"60-64",25017,25017
"Kisii",2068,"5-9",301986,301986
"West Pokot",2041,"80-84",3829,3365
"Makueni",2037,"60-64",28797,28797
"Lamu",2086,"45-49",14464,13107
"Tharaka-Nithi",2023,"55-59",9235,9221
"Narok",2082,"65-69",49526,34453
"Isiolo",2005,"20-24",14244,14242
"Mandera",2074,"50-54",230962,230962
"Baringo",2027,"90-94",442,406
"Kiambu",2049,"55-59",151868,54050
"Nyeri",2033,"35-39",58436,40464
"Marsabit",2091,"70-74",17433,17057
"Narok",2033,"0-4",172161,119761
"Kwale",2096,"60-64",59812,50219
"Kisii",2032,"60-64",40278,40278
"Siaya",2078,"55-59",61596,61591
"Wajir",2082,"85-89",17411,17408
"Migori",2017,"70-74",6761,6761
"Nandi",2047,"70-74",18948,18947
"Kwale",2053,"35-39",81825,72989
"Isiolo",2073,"35-39",26446,26432
"Isiolo",2060,"85-89",1169,1169
"Lamu",2087,"75-79",6080,5514
"Kisumu",2070,"90-94",4247,4247
"Kisumu",2036,"25-29",150824,150824
"Kiambu",2040,"25-29",285290,106472
"Kisii",2080,"20-24",322219,322219
"Murang'a",2028,"50-54",39801,36326
"Siaya",2029,"10-14",120860,120850
"Uasin Gishu",2059,"75-79",31259,26823
"Mandera",2067,"85-89",18121,18121
"Embu",2021,"30-34",48989,48989
"Samburu",2067,"0-4",27395,22174
"Laikipia",2009,"30-34",26287,13770
"Kajiado",2072,"15-19",149006,99658
"Busia",2029,"55-59",28662,28660
"Tana River",2035,"55-59",12972,12815
"Samburu",2057,"5-9",31930,25842
"Elgeyo-Marakwet",2047,"35-39",43908,24876
"Lamu",2078,"0-4",15337,13725
"Kajiado",2028,"85-89",1527,1227
"Elgeyo-Marakwet",2041,"65-69",10346,5861
"Nyandarua",2059,"85-89",3216,28
"Kiambu",2019,"90-94",1233,516
"Narok",2076,"95+",771,533
"Homa Bay",2033,"10-14",135530,135520
"West Pokot",2077,"10-14",62486,55559
"Nyandarua",2054,"15-19",83264,736
"Lamu",2018,"5-9",17560,14543
"Isiolo",2013,"55-59",2858,2858
"Bomet",2034,"75-79",7190,6961
"Kakamega",2000,"15-19",140472,140472
"Elgeyo-Marakwet",2095,"80-84",7449,4225
"Kiambu",2002,"25-29",122506,53126
"Kiambu",2029,"40-44",138877,55061
"Turkana",2067,"95+",600,585
"Marsabit",2066,"30-34",39727,38623
"Migori",2046,"80-84",7204,7204
"Migori",2098,"80-84",30131,30131
"Machakos",2002,"15-19",117998,117998
"Kisumu",2063,"90-94",3121,3121
"Meru",2026,"15-19",206964,191204
"Nandi",2079,"45-49",77167,77167
"Nyeri",2045,"45-49",54376,38738
"Wajir",2045,"40-44",143956,143921
"Nyandarua",2097,"65-69",35783,248
"Marsabit",2038,"70-74",5235,5062
"Vihiga",2083,"55-59",183112,183112
"Kajiado",2099,"25-29",145915,87901
"Busia",2021,"10-14",120115,120113
"Taita Taveta",2061,"70-74",13204,13204
"Marsabit",2088,"75-79",13674,13370
"West Pokot",2015,"45-49",23649,20728
"Bomet",2081,"85-89",7433,7214
"Kajiado",2012,"75-79",3015,2490
"Tana River",2092,"55-59",18237,18014
"Isiolo",2074,"50-54",20873,20862
"Baringo",2045,"25-29",77417,70784
"Kilifi",2025,"15-19",183874,172922
"Kisumu",2091,"15-19",181322,181322
"Bomet",2041,"0-4",132421,128208
"West Pokot",2096,"35-39",46705,41981
"Makueni",2007,"20-24",89309,89309
"Samburu",2028,"10-14",37179,30086
"Vihiga",2093,"85-89",40578,40578
"West Pokot",2045,"45-49",48509,42644
"Nyamira",2078,"20-24",106981,106981
"Kitui",2058,"85-89",5255,5255
"Nyamira",2023,"65-69",8573,8573
"Migori",2010,"40-44",40367,40364
"Kajiado",2050,"5-9",146223,107618
"Kajiado",2100,"60-64",126440,75917
"Kwale",2058,"30-34",89285,79201
"Marsabit",2049,"45-49",27908,27039
"Nairobi",2089,"65-69",1028709,10343
"Nyamira",2063,"50-54",77569,77569
"Elgeyo-Marakwet",2088,"35-39",27889,15804
"Kericho",2066,"0-4",124874,115092
"Mombasa",2026,"15-19",171131,98981
"Makueni",2059,"70-74",25637,25637
"West Pokot",2003,"15-19",52707,46299
"West Pokot",2040,"25-29",79041,69408
"Kisii",2074,"20-24",309301,309301
"Samburu",2053,"10-14",33954,27480
"West Pokot",2004,"85-89",373,326
"Nairobi",2043,"85-89",19070,296
"Narok",2056,"75-79",18162,12631
"Baringo",2095,"15-19",46428,43084
"Taita Taveta",2092,"90-94",2641,2641
"Migori",2096,"25-29",96182,96181
"Samburu",2022,"30-34",23040,18646
"Nyandarua",2092,"80-84",15532,112
"Meru",2025,"25-29",146283,135059
"Bomet",2065,"85-89",5153,4994
"Meru",2068,"0-4",235996,224764
"Uasin Gishu",2086,"85-89",23385,21271
"Embu",2081,"95+",609,609
